rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.8191293795903523,9.085486592,1.5576941967010498,4.747860980375087
16,32,3686400,3.9785604079564414,8.483498496,1.5160831212997437,4.55435137131404
64,128,14745600,4.246064138412476,9.866287616,1.476814866065979,4.378975820309134
